1/1/26,SPEAKER,SERMON TITLE,"SERMON
HYMNS",HYMNLEADER HYMNS
1/23/2026,"C. H. Chou 
周俊宏","做一個有價值,有影響力的好基督徒 
Be a valuable and influential good Christian","216, 399","396,390,118"
1/30/2026,"Anthony Chang 
張國彥","忠義的管家
The Faithful and Righteous Manager","288, 496","239, 163, 389"
2/6/2026,"Ethan Wang 
王元勛","God and Gideon’s Sword (1) 
神和基甸的刀 （1)","121, 101","439, 198, 182(1,2,4,5)"
2/13/2026,"Lawrence Lee 
李源平","A Faith that Triumphs in Times of Trouble (2) 
信心在患難中得勝 (二)","138, 356","344,367,352"
2/20/2026,"John Huang 
黃純章",窺探那地 Spy Out the Land ,"131, 195","351, 76, 416"
2/27/2026,"Bruce Wang 
王俊旺",二個浪子的省思（二）Reflection of the Two Prodigal Sons (2),"160, 437","136, 415, 401"
3/6/2026,"Tim Chen 
陳昭良","掙脫比較的枷鎖, 看見事奉的賞賜 
Freed From the Shackles of Comparison and 
Seeing the Reward of Serving","112, 231","379,367, 497"
3/13/2026,"Jessica Chen 
陳婕",Enjoying Our Salvation 享受我們的救恩,"337, 206","398, 396, 492"
3/20/2026,"C. H. Chou 
周俊宏","在教會中做個好信徒 
Be a Good Member in the church.","282, 496","52, 263, 354"
3/27/2026,"Anthony Tsai 
蔡德偉",Come and See What? 你來看什麼?,"225, 348","379, 483, 126"
,,,,
SATURDAY AM'S,,,,
1/3/2026,"Alan Wang 
王永昌",The Renewing in the New Year 新年更新,"309, 473","331, 390, 109, 436"
1/10/2026,"Charles Tsai 
蔡識真",神的祝福滿滿  The Abundance of God’s Blessings   ,352 155,"149, 524, 112"
1/17/2026,"Steven Lin 
林以文",What Do You Seek... Come & See (1) 你們要什麼？... 你們來看,"31, 103","101, 388, 436"
1/24/2026,"C. H. Chou 
周俊宏","使壞事變成好事的神 
God who turns bad things into good things
","129, 402","146, 487, 243"
1/31/2026,"K. M. Huang 
黃剛敏","彼得否認主 - 撒旦試探或神的旨意 ? 
Peter’s denial of the Lord - Satan Temptation or God’s will ? ","129, 250","36, 373, 330, 436"
2/7/2026,"John Liang 
梁家榮","Married to Jesus
嫁給耶穌","479, 511","131, 103, 375, 129A"
2/14/2026,"Mike Yuan 
袁啟文",Jeremiah’s Complaint,"104, 471","239(4), 402(2), 436(3)"
2/21/2026,"N. H. Chen 
陳乃信","以馬內利
EMMANUEL ",454，359,"498, 513, 378"
2/28/2026,"Josh Yeh 
葉榮恩","A Live Coal for a Living Faith
活炭與活潑的信心","136, 195","386,390,398,402"
3/7/2026,"Richard Pang 
彭天雄",The Seven Signs in the Gospel of John 約翰福音：七件神蹟 (1),"129, 423","91, 332, 27, 141"
3/14/2026,"David Liou 
劉曉恩","Give an Account for the Hope That is in You
為你心中的盼望作見證","55, 336","143, 136, 484"
3/21/2026,"C. H. Chou 
周俊宏","失敗的安慰者──約伯三友
The Comforter of Failure - Job's Three Friends
","129, 126","373, 390,380"
3/28/2026,"N. H. Chen 
陳乃信","你還缺少一件
You Still Lack One Thing",68，432,"58, 112, 62"
,,,,
SATURDAY PM's,,,,
1/3/2026,"Alan Wang 
王永昌",The Prayers of a Righteous Man 義人的祈禱,"257, 405","187, 389, 76"
1/10/2026,"Charles Tsai 
蔡識真",神是我的力量與盾牌 God is My Strength and My Shield      ,485 436,"389, 156, 211"
1/17/2026,"Steven Lin 
林以文",What Do You Seek... Come & See (2) 你們要什麼？... 你們來看,"375, 421","358(3), 492(4), 398(3)"
1/24/2026,"C. H. Chou 
周俊宏",羅馬書導讀 Romans Introduction,"24, 138","54,59,89(E-1,3,4,5),65"
1/31/2026,"Bruce Wang 
王俊旺",兩個浪子的省思 （一）Reflection of the Two Prodigal Son （1）,160， 437,"31, 391, 467"
2/7/2026,"John Liang 
梁家榮","Marriage in the Lord
在主裡的婚姻","431, 411","53(4), 338, 155"
2/14/2026,"Mike Yuan 
袁啟文",El Olam – The Everlasting God  永生之神,"133 (First and last verse), 485","65, 160, 398"
2/21/2026,"Paul Lai 
賴柏翰",堵住破口．重新修造 Wall Up Its Gaps and Rebuild,"141, 70","379, 341, 188"
2/28/2026,"Josh Yeh 
葉榮恩","For She Loved Much
因為她的愛多","244, 381","428, 11, 348"
3/7/2026,"Richard Pang 
彭天雄",The Seven Signs in the Gospel of John 約翰福音：七件神蹟 (2),"131, 426","129, 141, 168, 402"
3/14/2026,"David Liou 
劉曉恩","Be Aware it is the Lord Crossing Over Ahead of You as a Consuming Fire
你當知道，主在你前面過去，如同烈火","144 (4), 417","343, 427, 180"
3/21/2026,"C. H. Chou 
周俊宏",詩篇導讀 Introductory Guide to the Psalms,"24, 162","217, 256, 339"
3/28/2026,"Paul Lai 
賴柏翰",靈魂的錨 An Anchor of The Soul,"422, 318","382(3),144(3),351(3)"
